Maths,What is the square root of 81?,9,6;8;11,The square root of 81 is 9. As 9 times 9 equals 81.
Maths,What is 7 + 4 x 3?,19,21;33;17,The answer is 19. (4 x 3) = 12 + 7 = 19.
Maths,What is 3 to the power of 4?,81,64;27;12,The answer is 81. 3 x 3 = 9. 9 x 3 = 27. 27 x 3 = 81.
Maths,What is 15% of 200?,30,15;35;25,15% of 200 is 30. 200 x 0.15 = 30.
Maths,What is π (pi) rounded to two decimal places?,3.14,3.15;3.18;3.13,Pi rounded to 2 decimal places is 3.14. The first 5 decimal places of pi is 3.14159 so rounding to 2 would be 3.14.
Maths,What is next in the sequence: 2 5 9 14 _?,20,19;18;21,The answer is 20. 3 is added to 2 to start with then an additional 1 everytime so 6 would be added to 14 to equal 20.
Maths,What is the next prime number after 17?,19,23;20;21,The next prime number after 17 is 19. A prime number is only divisible by 1 and itself so 18 is not a prime number but 19 is.
Maths,How many sides does a pentagon have?,5,6;4;8,A pentagon has 5 sides. A rectangle has 4. A hexagon has 6. An octagon has 8.
Maths,What is 15 ÷ 0.5?,30,7.5;15.5;25,The answer is 30. Dividing a number by 0.5 is the same as doubling it. Double 15 is 30.
Maths,Solve: 3x + 5 = 20,x = 5,x = 15;x = 12; x = 3,x is 5. You can work this out by doing the following: 20 - 5 = 15. 15 / 3 = 5.
Maths,What is the product of 7 and 9?,63,16;54;81,The answer is 63. 7 x 9 = 63.
Maths,If a car travels at 66.5 miles per hour; how far will it travel in 3.5 hours?,232.75,237.75;242.25;230,The answer is 232.75. 66.5 x 3.5 = 232.75.
Maths,What is the area of a square thats top side is 7cm,49cm,54cm;14cm;42cm,The answer is 49cm. To find the area of a square you times the length of a side by itself.
Maths,What is the next number in the sequence: 2 6 12 20 _?,30,32;28;26,The next number in the sequence is 30. It begins by adding 4 then an additional 2 onto that every time. So 20 + 10 = 30.
Maths,If 3x - 7 = 14 what is the value of x?,x = 7,x = 3;x = 5; x = 9,x is 7. You can solve this by doing: 14 + 7 = 21. 21 / 3 = 7.
English,Who wrote the play 'Romeo and Juliet'?,William Shakespeare,Charles Dickens;Jane Austen;Mark Twain,William Shakespeare is the renowned playwright who wrote 'Romeo and Juliet'.
English,What is the plural form of 'child'?,Children,Childs;Childes;Childen,The correct plural form of 'child' is 'children'.
English,Which literary genre typically features magical elements and mythical creatures?,Fantasy,Science Fiction;Mystery;Romance,Fantasy is a genre that often includes magical elements and mythical creatures.
English,What is the synonym for 'vivid'?,Bright,Dull;Loud;Quiet,'Vivid' is synonymous with 'bright' describing something intensely colorful or lively.
English,In which play by Shakespeare does the character Hamlet appear?,Hamlet,Macbeth;Othello;Romeo and Juliet,The character Hamlet appears in the play 'Hamlet' by William Shakespeare.
English,What is the past tense of the verb 'sing'?,Sang,Sung;Sing;Sangen,The past tense of the verb 'sing' is 'sang'.
English,What is the correct order of the three main points in a traditional essay?,Introduction Body Conclusion,Conclusion Body Introduction;Conclusion Introduction Body,In a traditional essay the correct order is Introduction Body and Conclusion.
English,Which author wrote the novel '1984'?,George Orwell,Aldous Huxley;Ray Bradbury;J.K. Rowling,'1984' was written by George Orwell which explored dystopian themes and totalitarianism.
English,What is the meaning of the word 'ephemeral'?,Lasting for a short time,Permanent;Endless;Timeless,'Ephemeral' means lasting for a short time or being transitory.
English,Which punctuation mark is used to indicate a question?,Question Mark,Exclamation Point;Period;Comma,The question mark is used to indicate a question in written language.
English,What is the correct comparative form of the adjective 'good'?,Better,Gooder;More Good;Goodest,The correct comparative form of 'good' is 'better'.
English,In which Shakespearean play does the character Macbeth appear?,Macbeth,Hamlet;Othello;King Lear,The character Macbeth appears in the play 'Macbeth' by William Shakespeare.
English,What literary device is used to make a comparison without using 'like' or 'as'?,Metaphor,Simile;Personification;Hyperbole,A metaphor is a literary device used to make a direct comparison without using 'like' or 'as'.
English,What is the meaning of the idiom 'burn the midnight oil'?,To work late into the night,To waste time;To sleep peacefully;To start a fire,'Burn the midnight oil' means to work late into the night often referring to hard work or studying.
English,What is the correct spelling of the word that means a sudden and intense outbreak of fire?,Conflagration,Confalgration;Conflaguration;Confalguration,The correct spelling is 'conflagration'. It refers to a sudden and intense outbreak of fire.
Science,What is the chemical symbol for water?,H2O,CO2;N2;O2,The chemical symbol for water is H2O. It represents two hydrogen atoms and one oxygen atom.
Science,Which gas do plants primarily absorb during photosynthesis?,Carbon Dioxide,Oxygen;Nitrogen;Hydrogen,During photosynthesis plants primarily absorb carbon dioxide from the air to produce glucose.
Science,What is the powerhouse of the cell?,Mitochondria,Nucleus;Ribosome;Endoplasmic Reticulum,The mitochondria are often referred to as the powerhouse of the cell as they produce energy through cellular respiration.
Science,What is the chemical symbol for gold?,Au,Ag;Fe;Cu,The chemical symbol for gold is Au which is derived from the Latin word 'aurum'.
Science,Which planet is known as the 'Red Planet'?,Mars,Venus;Jupiter;Saturn,Mars is known as the 'Red Planet' due to its reddish appearance caused by iron oxide on its surface.
Science,What is the smallest bone in the human body?,Stapes (stirrup),Femur;Tibia;Humerus,The stapes which is located in the middle ear is the smallest bone in the human body.
Science,What is the process by which plants make their own food?,Photosynthesis,Respiration;Fermentation;Digestion,Photosynthesis is the process by which plants make their own food using sunlight carbon dioxide and water.
Science,What is the unit of measurement for electrical resistance?,Ohm,Farad;Watt;Volt,The ohm (Ω) is the unit of measurement for electrical resistance in a circuit.
Science,Which gas makes up the majority of Earth's atmosphere?,Nitrogen,Oxygen;Carbon Dioxide;Argon,Nitrogen makes up approximately 78% of Earth's atmosphere.
Science,What is the main function of the human pancreas?,Production of Insulin,Filtering Blood;Digestion of Fats;Storage of Glucose,The main function of the pancreas is the production of insulin which is a hormone that regulates blood sugar levels.
Science,What is the chemical symbol for the element iron?,Fe,Cu;Au;Ag,The chemical symbol for the element iron is Fe which is derived from the Latin word 'ferrum'.
Science,Which process releases energy in the form of light and heat?,Combustion,Fermentation;Oxidation;Decomposition,Combustion is a chemical process that releases energy in the form of light and heat.
Science,What is the speed of light in a vacuum?,299792 kilometers per second (km/s),30000 kilometers per second (mph);150000 miles per hour (mph);1000 meters per second (m/s),The speed of light in a vacuum is approximately 299792 kilometers per second (km/s).
Science,Which scientist is credited with the theory of general relativity?,Albert Einstein,Isaac Newton;Galileo Galilei;Nikola Tesla,Albert Einstein is credited with the theory of general relativity.
Science,What is the main component of Earth's outermost layer the crust?,Silicon and Oxygen (Silicates),Iron and Nickel;Aluminum and Oxygen (Aluminosilicates);Calcium and Carbonate,Silicon and Oxygen forming silicate minerals are the main components of the crust.
Geography,What is the capital of Australia?,Canberra,Sydney;Melbourne;Brisbane,Canberra is the capital of Australia.
Geography,Which river is the longest in the world?,Nile,Amazon;Yangtze;Mississippi,The Nile is the longest river in the world and flows through northeastern Africa.
Geography,In which mountain range is Mount Everest located?,Himalayas,Andes;Rocky Mountains;Alps,Mount Everest is part of the Himalayan mountain range situated between Nepal and China.
Geography,What is the largest desert in the world by area?,Antarctica,SaharaArabian DesertGobi Desert,Contrary to common perception Antarctica is the largest desert in the world as deserts are defined by low precipitation.
Geography,Which ocean is the largest on Earth?,Pacific Ocean,Atlantic Ocean;Indian Ocean;Southern Ocean,The Pacific Ocean is the largest and deepest ocean on Earth.
Geography,What is the capital of Canada?,Ottawa,Toronto;Vancouver;Montreal,Ottawa is the capital of Canada located in the province of Ontario.
Geography,In which continent is the Amazon Rainforest primarily located?,South America,Africa;Asia;Australia,The Amazon Rainforest is primarily located in South America covering multiple countries.
Geography,Which country is known as the Land of the Rising Sun?,Japan,China;Korea;Thailand,Japan is often referred to as the Land of the Rising Sun due to its name in Japanese 'Nihon' or 'Nippon.'
Geography,What is the largest island in the world?,Greenland,Australia;Borneo;Madagascar,Greenland is the largest island in the world by land area.
Geography,Which African country is known as the 'Pearl of Africa'?,Uganda,Kenya;Nigeria;South Africa,Uganda is often referred to as the 'Pearl of Africa' for its natural beauty and diverse landscapes.
Geography,In which mountain range is the Grand Canyon located?,Colorado Plateau,Appalachian Mountains;Rocky Mountains;Andes Mountains,The Grand Canyon is situated in the Colorado Plateau region. Not within a specific mountain range.
Geography,Which strait separates Asia and North America at their closest point?,Bering Strait,Bosporus Strait;Strait of Gibraltar;Malacca Strait,The Bering Strait separates Asia and North America at their closest point.
Geography,In which mountain range is Mount Kilimanjaro located?,East African Rift System,Andes;Himalayas;Rocky Mountains,Mount Kilimanjaro is part of the East African Rift System and is located in Tanzania.
Geography,Which country is known as the 'Land of the Midnight Sun?',Norway,Canada;Sweden;Finland,Norway is known as the 'Land of the Midnight Sun' due to its location within the Arctic Circle.
Geography,In which ocean is the Great Barrier Reef located?,Coral Sea,Indian Ocean;Pacific Ocean;Southern Ocean,The Great Barrier Reef is located in the Coral Sea off the coast of Queensland in Australia.
History,Who was the first President of the United States?,George Washington,John Adams;Thomas Jefferson;Alexander Hamilton,George Washington was unanimously elected as the first President of the United States in 1789.
History,In which year did Christopher Columbus first reach the Americas?,1492,1607;1776;1812,Christopher Columbus reached the Americas in 1492.
History,Which ancient civilization built the pyramids?,Egyptian,Greek;Roman;Mesopotamian,The Egyptians built the pyramids such as the Great Pyramid of Giza as monumental tombs for pharaohs.
History,Who was the leader of the Soviet Union during World War II?,Joseph Stalin,Vladimir Putin;Nikita Khrushchev;Leon Trotsky,Joseph Stalin led the Soviet Union during World War II from 1924 until his death in 1953.
History,What event marked the beginning of World War I?,The assassination of Archduke Franz Ferdinand,The sinking of the Lusitania;The signing of the Treaty of Versailles;The Battle of Jutland,The assassination of Archduke Franz Ferdinand in 1914 marked the beginning of World War I.
History,Which empire was ruled by Julius Caesar?,Roman,Ottoman;British;Mongol,Julius Caesar was a key figure in the Roman Republic and played a significant role in its transformation into the Roman Empire.
History,Who wrote the play 'Romeo and Juliet'?,William Shakespeare,Charles Dickens;Jane Austen;Mark Twain,William Shakespeare wrote the play 'Romeo and Juliet'.
History,What is the capital of Japan?,Tokyo,Beijing;Seoul;Hanoi,Tokyo is the capital of Japan. Beijing is China. Seoul is South Korea and Hanoi is Vietnam.
History,Who painted the Mona Lisa?,Leonardo da Vinci,Vincent van Gogh;Pablo Picasso;Claude Monet,Leonardo da Vinci painted the Mona Lisa and it is one of the most famous works of art.
History,What is the currency of Australia?,Australian Dollar,Euro;Pound Sterling;Yen,The currency of Australia is the Australian Dollar (AUD).
History,In which year did the Titanic sink?,1912,1920;1905;1935,The Titanic sank on April 15 1912 after hitting an iceberg during its maiden voyage.
History,Who is known for his theory of relativity?,Albert Einstein,Isaac Newton;Galileo Galilei;Nikola Tesla,Albert Einstein is known for his theory of relativity which revolutionized the understanding of space and time.
History,What is the capital of Brazil?,Brasília,Rio de Janeiro;São Paulo;Buenos Aires,Brasília became the capital of Brazil in 1960 designed by architects Oscar Niemeyer and Lúcio Costa.
History,In which year did World War II end?,1945,1939;1941;1943,World War II ended in 1945 after the Allies defeated the Axis powers.
History,Who was the queen of ancient Egypt known for her alliance with Julius Caesar and Mark Antony?,Cleopatra,Nefertiti;Hatshepsut;Isis,Cleopatra is known for her relationships with Julius Caesar and Mark Antony influencing the political landscape of ancient Egypt.
